x	Umin	Umax	Umax-Umin	Umax+Umin-2Uback	visibilité	incertitudes_U	incertitude_visibilité			
0	6	220	214	214	1	10	0.093924071			
1	6	212	206	206	1	10	0.097571608			
2	10	200	190	198	0.95959596	10	0.099463947		Ubackground	incertitude_Uback
3	7	204	197	199	0.989949749	10	0.100492475		6	2
4	8	202	194	198	0.97979798	10	0.100483581			
5	4	206	202	198	1.02020202	10	0.102554566			
6	8	220	212	216	0.981481481	10	0.092188284			
7	4	216	212	208	1.019230769	10	0.09757621			
8	5	209	204	202	1.00990099	10	0.100002402			
9	5	204	199	197	1.010152284	10	0.102553544			
10	6	204	198	198	1	10	0.101513895			
11	6	203	197	197	1	10	0.102029194			
12	5	203	198	196	1.010204082	10	0.103079472			
13	7	210	203	205	0.990243902	10	0.097565723			
14	7	217	210	212	0.990566038	10	0.094359561			
15	9	215	206	212	0.971698113	10	0.09346484			
16	9	215	206	212	0.971698113	10	0.09346484			
17	9	203	194	200	0.97	10	0.098987828			
18	8	203	195	199	0.979899497	10	0.099983764			
19	10	199	189	197	0.959390863	10	0.099958492			
20	14	197	183	199	0.91959799	10	0.096988145			
21	14	196	182	198	0.919191919	10	0.097458052			
22	12	196	184	196	0.93877551	10	0.099428957			
23	13	208	195	209	0.933014354	10	0.092973934			
24	12	211	199	211	0.943127962	10	0.092563504			
25	14	213	199	215	0.925581395	10	0.090041393			
26	16	210	194	214	0.906542056	10	0.089599191			
27	11	199	188	198	0.949494949	10	0.098958237			
28	16	192	176	196	0.897959184	10	0.097406426			
29	20	185	165	193	0.85492228	10	0.096809695			
30	22	185	163	195	0.835897436	10	0.094911953			
31	28	184	156	200	0.78	10	0.090015776			
32	28	184	156	200	0.78	10	0.090015776			
33	28	184	156	200	0.78	10	0.090015776			
34	28	191	163	207	0.787439614	10	0.087290351			
35	31	192	161	211	0.763033175	10	0.084617108			
36	38	192	154	218	0.706422018	10	0.079690207			
37	41	188	147	217	0.677419355	10	0.078964043			
38	36	186	150	210	0.714285714	10	0.083037793			
39	39	176	137	203	0.674876847	10	0.084308958			
40	63	170	107	221	0.484162896	10	0.071232182			
