x	Umin	Umax	Umax-Umin	Umax+Umin-2Uback	visibilité	incertitudes_U	incertitude_visibilité			
0	10	174	164	172	0.953488372	20	0.227484526			
1	14	211	197	213	0.924882629	20	0.181086083			
2	14	187	173	189	0.915343915	20	0.203110867		Ubackground	incertitude_Uback
3	23	211	188	222	0.846846847	20	0.167127939		6	2
4	23	195	172	206	0.834951456	20	0.179053431			
5	22	206	184	216	0.851851852	20	0.172196326			
6	25	202	177	215	0.823255814	20	0.170572231			
7	29	190	161	207	0.777777778	20	0.173265728			
8	29	192	163	209	0.779904306	20	0.171785234			
9	31	190	159	209	0.76076555	20	0.170198216			
10	30	195	165	213	0.774647887	20	0.168129125			
11	30	195	165	213	0.774647887	20	0.168129125			
12	32	188	156	208	0.75	20	0.170130503			
13	35	175	140	198	0.707070707	20	0.175097374			
14	38	182	144	208	0.692307692	20	0.165523555			
15	42	170	128	200	0.64	20	0.168026665			
16	43	166	123	197	0.624365482	20	0.169380841			
17	44	166	122	198	0.616161616	20	0.167905005			
18	45	175	130	208	0.625	20	0.16046911			
19	49	161	112	198	0.565656566	20	0.164219387			
20	55	171	116	214	0.542056075	20	0.150423394			
21	52	160	108	200	0.54	20	0.160814054			
22	52	157	105	197	0.532994924	20	0.162785413			
23	45	177	132	210	0.628571429	20	0.159197395			
24	43	170	127	201	0.631840796	20	0.166571973			
25	40	170	130	198	0.656565657	20	0.171016625			
26	40	190	150	218	0.688073394	20	0.157617361			
27	53	184	131	225	0.582222222	20	0.145554172			
28	54	172	118	214	0.551401869	20	0.151018566			
29	57	158	101	203	0.497536946	20	0.155701232			
30	62	165	103	215	0.479069767	20	0.145940141			
31	55	167	112	210	0.533333333	20	0.15272976			
32	63	150	87	201	0.432835821	20	0.153394216			
33	58	148	90	194	0.463917526	20	0.160791403			
